ip,date,time,T (ºC),estado
189.61.49.44,24/10/2020, 14:47:53,25,1
168.90.31.104,24/10/2020, 14:51:02,24.68,1
168.90.31.104,24/10/2020, 14:52:13,25.50,1
168.90.31.104,24/10/2020, 14:53:23,25.46,1
168.90.31.104,24/10/2020, 14:54:33,25.14,1
168.90.31.104,24/10/2020, 14:55:43,25.41,1
168.90.31.104,24/10/2020, 14:56:54,25.27,1
168.90.31.104,24/10/2020, 14:58:04,25.41,1
168.90.31.104,24/10/2020, 14:59:14,25.41,1
168.90.31.104,24/10/2020, 15:00:25,25.36,1
168.90.31.104,24/10/2020, 15:01:35,25.36,1
168.90.31.104,24/10/2020, 15:02:45,24.91,1
168.90.31.104,24/10/2020, 15:03:56,23.36,1
168.90.31.104,24/10/2020, 15:05:06,25.36,1
168.90.31.104,24/10/2020, 15:06:16,24.64,1
168.90.31.104,24/10/2020, 15:07:26,25.32,1
168.90.31.104,24/10/2020, 15:08:36,23.36,1
168.90.31.104,24/10/2020, 15:09:47,24.82,1
168.90.31.104,24/10/2020, 15:10:57,25.32,1
168.90.31.104,24/10/2020, 15:12:07,25.27,1
168.90.31.104,24/10/2020, 15:13:18,25.32,1
168.90.31.104,24/10/2020, 15:14:28,25.14,1
168.90.31.104,24/10/2020, 15:15:38,23.59,1
168.90.31.104,24/10/2020, 15:16:48,25.18,1
168.90.31.104,24/10/2020, 15:17:59,25.27,1
168.90.31.104,24/10/2020, 15:19:09,24.18,1
168.90.31.104,24/10/2020, 15:20:19,25.05,1
168.90.31.104,24/10/2020, 15:21:30,23.95,1
168.90.31.104,24/10/2020, 15:22:40,25.14,1
168.90.31.104,24/10/2020, 15:23:50,25.23,1
168.90.31.104,24/10/2020, 15:25:01,25.23,1
168.90.31.104,24/10/2020, 15:26:11,25.23,1
168.90.31.104,24/10/2020, 15:27:21,24.73,1
168.90.31.104,24/10/2020, 15:28:31,23.27,1
168.90.31.104,24/10/2020, 15:29:42,25.18,1
168.90.31.104,24/10/2020, 15:30:52,24.95,1
168.90.31.104,24/10/2020, 15:32:02,25.18,1
168.90.31.104,24/10/2020, 15:33:12,23.27,1
168.90.31.104,24/10/2020, 15:34:23,25.14,1
168.90.31.104,24/10/2020, 15:35:33,25.18,1
168.90.31.104,24/10/2020, 15:36:43,25.14,1
168.90.31.104,24/10/2020, 15:37:53,25.18,1
168.90.31.104,24/10/2020, 15:39:03,24.77,1
168.90.31.104,24/10/2020, 15:40:14,24.77,1
168.90.31.104,24/10/2020, 15:41:24,25.05,1
168.90.31.104,24/10/2020, 15:42:34,25.14,1
168.90.31.104,24/10/2020, 15:43:45,25.23,1
168.90.31.104,24/10/2020, 15:44:55,24.73,1
168.90.31.104,24/10/2020, 15:46:05,25.00,1
168.90.31.104,24/10/2020, 15:47:15,23.27,1
168.90.31.104,24/10/2020, 15:48:26,23.22,1
168.90.31.104,24/10/2020, 15:49:36,25.18,1
168.90.31.104,24/10/2020, 15:50:46,24.50,1
168.90.31.104,24/10/2020, 15:51:56,25.23,1
168.90.31.104,24/10/2020, 15:53:07,24.64,1
168.90.31.104,24/10/2020, 15:54:17,25.14,1
168.90.31.104,24/10/2020, 15:55:27,25.09,1
168.90.31.104,24/10/2020, 15:56:37,25.18,1
168.90.31.104,24/10/2020, 15:57:47,25.14,1
168.90.31.104,24/10/2020, 15:58:58,23.27,1
168.90.31.104,24/10/2020, 16:00:08,23.27,1
168.90.31.104,24/10/2020, 16:01:18,25.18,1
168.90.31.104,24/10/2020, 16:02:28,25.18,1
168.90.31.104,24/10/2020, 16:03:38,23.27,1
168.90.31.104,24/10/2020, 16:04:49,25.14,1
168.90.31.104,24/10/2020, 16:06:00,25.09,1
168.90.31.104,24/10/2020, 16:07:10,23.22,1
168.90.31.104,24/10/2020, 16:08:20,24.13,1
168.90.31.104,24/10/2020, 16:09:31,25.27,1
168.90.31.104,24/10/2020, 16:10:41,24.18,1
168.90.31.104,24/10/2020, 16:11:51,25.14,1
168.90.31.104,24/10/2020, 16:13:02,25.32,1
168.90.31.104,24/10/2020, 16:14:13,25.32,1
168.90.31.104,24/10/2020, 16:15:23,24.64,1
168.90.31.104,24/10/2020, 16:16:33,25.32,1
168.90.31.104,24/10/2020, 16:17:45,25.36,1
168.90.31.104,24/10/2020, 16:18:55,25.36,1
168.90.31.104,24/10/2020, 16:20:05,25.05,1
168.90.31.104,24/10/2020, 16:21:15,25.18,1
168.90.31.104,24/10/2020, 16:22:26,25.27,1
168.90.31.104,24/10/2020, 16:23:36,24.09,1
168.90.31.104,24/10/2020, 16:24:46,24.27,1
168.90.31.104,24/10/2020, 16:25:56,25.05,1
168.90.31.104,24/10/2020, 16:27:07,25.36,1
168.90.31.104,24/10/2020, 16:28:17,25.36,1
168.90.31.104,24/10/2020, 16:29:27,25.32,1
168.90.31.104,24/10/2020, 16:30:38,25.36,1
168.90.31.104,24/10/2020, 16:31:48,24.91,1
168.90.31.104,24/10/2020, 16:32:58,25.32,1
168.90.31.104,24/10/2020, 16:34:08,23.13,1
168.90.31.104,24/10/2020, 16:35:18,25.36,1
168.90.31.104,24/10/2020, 16:36:29,24.13,1
168.90.31.104,24/10/2020, 16:37:39,23.54,1
168.90.31.104,24/10/2020, 16:38:49,23.13,1
168.90.31.104,24/10/2020, 16:39:59,23.22,1
